Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_3	0.1518350709987772	0.2050823970546988	0.0416300019429729	1.350691877085172	0.2741790922817049	0.1923627062958288	9.601086727077391e-10	4.3128091857470625e-09	0.2226179344731268	d3	100017_irnt
L2_4	0.1399867039278771	0.119326265873253	0.0388081285842655	0.8524114256931961	0.2772272472695692	0.5893698445163589	-7.942086904795497e-09	4.407851561402911e-09	-1.8018045286143272	d4	100017_irnt
L2_5	0.1340074975352947	0.1977935515109224	0.0368968781085092	1.4759886957729942	0.2753344311857729	0.0871896797738554	1.993078880212834e-09	4.332056942929867e-09	0.4600767964201482	d5	100017_irnt
L2_6	0.1335780508454815	0.1937740423239441	0.036708788425341	1.450642834638269	0.2748115292369739	0.0940594245951556	1.9591447075611734e-09	4.396272693289354e-09	0.4456376672338115	d6	100017_irnt
L2_7	0.1226353801332928	0.1589792636581225	0.0375464629164274	1.2963572460518926	0.3061633834837715	0.332620327974845	-1.2262371520232447e-09	4.625679156894177e-09	-0.2650934296200902	d7	100017_irnt
L2_8	0.1229873251158038	0.1416886937438842	0.0342096997764215	1.152059316766759	0.2781563038647272	0.5844337828487943	-3.6416981382198254e-09	4.405180049876405e-09	-0.8266854242023547	d8	100017_irnt
L2_9	0.1136643058841409	0.1832952071575039	0.0402299947742834	1.6126012975818316	0.3539369238333292	0.0637911369292017	3.7032672307238844e-09	5.309587080165669e-09	0.6974680280803184	d9	100017_irnt
L2_10	0.099503636792778	0.1733426823012695	0.0344337109808548	1.742073836580119	0.3460547985051538	0.0156881406512454	7.7674585416434e-09	4.76497628637522e-09	1.6301148368467973	d10	100017_irnt
L2_1	0.1414330669589588	0.1372877762290371	0.0401303766526621	0.9706907951651464	0.2837411187887709	0.9173838160223842	-2.2061660952744314e-09	1.2403515449200463e-09	-1.778661948146839	d1	1011
L2_2	0.1552238415381975	0.1983693474533891	0.0409626089501401	1.2779566945878886	0.2638937971397907	0.2912074079811602	-4.810638513608618e-10	1.1973372084395735e-09	-0.4017780855468503	d2	1011
L2_3	0.1518350709987772	0.2450463992688088	0.0437101423824462	1.613898539098271	0.287879092062981	0.0171332145641261	1.143870783005481e-09	1.180819693399955e-09	0.9687091004655534	d3	1011
L2_4	0.1399867039278771	0.1706823428224763	0.0409741910992119	1.2192753885427146	0.2927005919099459	0.4568362997741185	-4.687681555153822e-10	1.3187858880142163e-09	-0.3554543309689472	d4	1011
L2_5	0.1340074975352947	0.1452420614235856	0.0411149335320165	1.0838353382827106	0.3068106955820721	0.7860506680705073	-8.360223886241163e-10	1.3368912311766543e-09	-0.625348097981238	d5	1011
L2_6	0.1335780508454815	0.114468049720427	0.0391766741339043	0.8569375656846476	0.2932867629519656	0.6174778556575133	-1.6328138248907314e-09	1.3098671285526862e-09	-1.2465492028148526	d6	1011
L2_7	0.1226353801332928	0.08743242046785	0.035726245121444	0.7129461365294375	0.2913208658269178	0.3151563288653126	-2.0940901071022656e-09	1.3397863851274672e-09	-1.563002975958017	d7	1011
L2_8	0.1229873251158038	0.0723190712638867	0.0371595540368159	0.5880205232188903	0.3021413304324396	0.153593661936526	-2.5171683620803084e-09	1.2553704860096823e-09	-2.005119914903667	d8	1011
L2_9	0.1136643058841409	0.1137259162163849	0.03777909110802	1.0005420376411458	0.3323742736486562	0.998696519716884	-2.7301435350612296e-10	1.426610660355111e-09	-0.1913727137284705	d9	1011
L2_10	0.099503636792778	0.0921078135672633	0.0329029068633317	0.9256728350450452	0.3306703948103316	0.8209711052525873	2.1134774645248972e-10	1.4450460459865735e-09	0.1462567556511299	d10	1011
L2_1	0.1414330669589588	0.231392957754918	0.0182559882634657	1.6360598177656989	0.1290786423288358	4.727355932976474e-07	4.536079436019408e-09	3.693489167016095e-09	1.2281285339964938	d1	102_irnt
L2_2	0.1552238415381975	0.2338235994022905	0.0163511914367379	1.5063639521171823	0.1053394328777403	5.19662268104603e-06	3.669578089450526e-09	3.435085462286738e-09	1.0682639863660586	d2	102_irnt
L2_3	0.1518350709987772	0.2202609823381563	0.0145486755408229	1.4506594615412016	0.0958189398873473	5.3419159431808885e-06	1.555440600195695e-09	2.938901535017474e-09	0.5292591744440485	d3	102_irnt
L2_4	0.1399867039278771	0.1876915983014428	0.0144769786788899	1.3407816102173806	0.1034168122591746	0.0005545315757106	-4.010858826065612e-09	3.219401358155762e-09	-1.2458399496865582	d4	102_irnt
L2_5	0.1340074975352947	0.2130488254982902	0.0183397898413697	1.589827654547297	0.1368564459353438	1.1703849048029349e-05	3.165965401413043e-09	3.689861718053369e-09	0.8580173576486454	d5	102_irnt
L2_6	0.1335780508454815	0.1943015979441342	0.0156019969543869	1.4545922531007405	0.1168006035095901	0.0001064684620478	1.9895798548317688e-09	3.786039893961729e-09	0.5255041971440675	d6	102_irnt
L2_7	0.1226353801332928	0.1672527940168296	0.0162869403136305	1.3638217114428308	0.1328078430215502	0.0060315172835278	-1.6654140852790887e-09	3.6893928404461374e-09	-0.451406005622784	d7	102_irnt
