Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_4	0.1575507380360094	0.0975707759558494	0.0424020196454599	0.6192974858267494	0.2691324723326188	0.1253836360756328	-9.20821945384848e-09	3.7742178617857376e-09	-2.4397689245982463	d6	100017_irnt
L2_5	0.1465600900764432	0.2013651199897762	0.0372294428652555	1.3739423869400442	0.2540216974882953	0.1178344281325135	2.1698680846155634e-09	3.444257030033224e-09	0.629995980466833	d1	100017_irnt
L2_6	0.1640202853169996	0.1264395857493677	0.0398287316555575	0.7708777332328118	0.2428280842127615	0.3188313583969254	-6.114479954862296e-09	3.495201438499793e-09	-1.749392720977692	d4	100017_irnt
L2_7	0.1387572450256737	0.1541594420254635	0.0353406145839598	1.111001029149433	0.2546938329412703	0.6660928958293478	-7.280182867231685e-10	3.6033947250342723e-09	-0.202036785386104	d7	100017_irnt
L2_8	0.1601005777567751	0.2009551041889381	0.0418447028474575	1.2551803810116735	0.2613650958276244	0.3322900310007823	2.035159042167154e-09	3.8601662326414556e-09	0.5272205701811253	d5	100017_irnt
L2_9	0.0855516519522462	0.0930049803519401	0.0301145620163771	1.0871208004709745	0.3520044479466821	0.8030871587857649	8.468552086251954e-10	5.545702774619831e-09	0.1527047595303643	d10	100017_irnt
L2_10	0.1078515100838612	0.0661568078205362	0.0298671947074056	0.613406411918528	0.2769288504554279	0.134016277969359	-9.891786659957282e-09	4.257921541010371e-09	-2.323149115051575	d9	100017_irnt
L2_1	0.1569973221650353	0.1856286681347539	0.0383258734871097	1.1823683714784723	0.2441180076104841	0.4477328281446188	1.2381808806270572e-10	1.0700198282377211e-09	0.1157156949760725	d2	1011
L2_2	0.1624380426692191	0.2007862640954996	0.0398263924857406	1.236079066185074	0.2451789730490731	0.3293826192730016	5.091947168191581e-10	1.041875905618258e-09	0.4887287574972739	d3	1011
L2_3	0.1317141515601244	0.1071420606319723	0.0398022927292603	0.8134438051105274	0.3021869120197876	0.519981450616655	-1.7524860247313102e-10	1.2221269309680226e-09	-0.1433964001875976	d8	1011
L2_4	0.1575507380360094	0.1666612720141089	0.0374478203104183	1.0578260317385326	0.2376873683819837	0.8083834615958818	7.606028267795537e-11	1.0303584535142763e-09	0.0738192445731232	d6	1011
L2_5	0.1465600900764432	0.0839570423893037	0.0397997308165532	0.5728506467586992	0.2715591317922529	0.0793186811081005	-2.875820150886135e-09	1.0332711935303411e-09	-2.7832191286204564	d1	1011
L2_6	0.1640202853169996	0.1461388609158193	0.0401626945602479	0.8909804091206093	0.2448641915396385	0.6592097349963724	-9.23484977579652e-10	1.0800890291039832e-09	-0.8550082008940999	d4	1011
L2_7	0.1387572450256737	0.0958678874852221	0.0368102651656266	0.6909036531208448	0.2652853561543096	0.2132363933107283	-1.0985858790520455e-09	1.1042769117348688e-09	-0.9948463717548144	d7	1011
L2_8	0.1601005777567751	0.1752586889070866	0.036575615142278	1.0946786786325011	0.2284539859552769	0.6804115129717261	1.5504755166536554e-10	9.763143485929402e-10	0.1588090474024266	d5	1011
