Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_1	0.1414330669589588	0.1839951166777529	0.0108341522295703	1.30093422022125	0.0766026818375805	0.0001468616633872	1.119359615694225e-09	1.55315125716339e-09	0.7207022564811725	d1	ADHDvsCONT
L2_2	0.1552238415381975	0.2018099383525082	0.0116940188356467	1.3001220453808109	0.0753364864557168	9.89990901462895e-05	3.2536918536133333e-09	1.5862750284694479e-09	2.0511524138110717	d2	ADHDvsCONT
L2_3	0.1518350709987772	0.1686839481769148	0.0118563516718407	1.1109682833307548	0.0780870426960596	0.1555369729978133	2.045790981173048e-10	1.5874891095180066e-09	0.1288696072878377	d3	ADHDvsCONT
L2_4	0.1399867039278771	0.15205007312049	0.0112550038746902	1.086175107021793	0.0804005206129356	0.2869567421559432	6.127685663932548e-10	1.653173153498006e-09	0.3706620598675201	d4	ADHDvsCONT
L2_5	0.1340074975352947	0.1321187483164907	0.0096938146040991	0.9859056451799904	0.0723378526007172	0.845637704123344	-1.4015209690400374e-09	1.413909720211184e-09	-0.9912379475195232	d5	ADHDvsCONT
L2_6	0.1335780508454815	0.1152435579389534	0.010867813032753	0.8627432217308156	0.0813592724550577	0.0927187681960999	-2.6227512551403086e-09	1.6399956470011555e-09	-1.5992428150258744	d6	ADHDvsCONT
L2_7	0.1226353801332928	0.1144464160377074	0.0102244034694847	0.933225109371498	0.0833723796376857	0.4224650988906873	-3.4180318356083716e-11	1.730739732652056e-09	-0.0197489649721673	d7	ADHDvsCONT
L2_8	0.1229873251158038	0.0902394030796985	0.0104153945893617	0.733729292792813	0.0846867315762392	0.0019176424516676	-4.214415304117511e-09	1.6502343852383639e-09	-2.5538283178536307	d8	ADHDvsCONT
L2_9	0.1136643058841409	0.0962271130353441	0.0075774553606628	0.8465904250841001	0.066665214745486	0.0236896526009799	-5.404666225670357e-10	1.4592587868467e-09	-0.3703706480568299	d9	ADHDvsCONT
L2_10	0.099503636792778	0.0722703725483326	0.0097242426232432	0.7263088554123884	0.0977275096335882	0.0045452795397087	-1.0800258612640598e-09	1.9731394056853136e-09	-0.547364194416331	d10	ADHDvsCONT
L2_1	0.1414330669589588	0.1687378479454932	0.0200662310845941	1.1930579713332368	0.1418779321982534	0.17369913441495	-1.224759498062345e-09	5.9379182132035665e-09	-0.2062607557205768	d1	ASDvsCONT
L2_2	0.1552238415381975	0.2177686136089419	0.0259711716449766	1.4029327676145251	0.1673143209677986	0.0111152007352973	1.0884147734893186e-08	6.308251282525786e-09	1.7253827166084668	d2	ASDvsCONT
L2_3	0.1518350709987772	0.1757134838751722	0.0219493324387153	1.1572654638965942	0.1445603594369323	0.2687038270032679	2.8942650694573587e-09	5.943293396322606e-09	0.4869800086342996	d3	ASDvsCONT
L2_4	0.1399867039278771	0.164120782821161	0.0194102546075424	1.1724026512240628	0.1386578443731546	0.2237631077747382	5.158995927496842e-09	5.493799934045899e-09	0.9390578451038548	d4	ASDvsCONT
L2_5	0.1340074975352947	0.1552517918559198	0.0202637126270357	1.1585306397877462	0.1512132753743774	0.3089789171537138	4.113196315156049e-09	5.841882936506429e-09	0.7040874252122259	d5	ASDvsCONT
L2_6	0.1335780508454815	0.1147258646606865	0.0224526335025726	0.8588676353227926	0.1680862489043584	0.375409453784954	-5.131984918160672e-09	5.710178063582104e-09	-0.8987434123799074	d6	ASDvsCONT
L2_7	0.1226353801332928	0.1235005422199561	0.0199094249681889	1.0070547511307335	0.1623465018541083	0.9653632974300348	1.329545394822975e-09	6.586843058172345e-09	0.2018486523940172	d7	ASDvsCONT
L2_8	0.1229873251158038	0.130777784236317	0.0219152523106924	1.063343593440851	0.1781911452262028	0.7223183370911301	4.702405098394636e-09	7.011655551542015e-09	0.6706554627259856	d8	ASDvsCONT
L2_9	0.1136643058841409	0.1117634646707523	0.0201287531028996	0.9832767094418696	0.1770894824573781	0.924550758202034	2.8889220072749143e-09	6.6407563402913636e-09	0.4350290628413815	d9	ASDvsCONT
L2_10	0.099503636792778	0.0690225738400601	0.0188917794427042	0.6936688553786593	0.1898601905581343	0.0707271223470266	-6.091141940385993e-09	6.2588137949325396e-09	-0.9732102823250148	d10	ASDvsCONT
L2_1	0.1414330669589588	0.2053852096377013	0.0099786946578822	1.4521724944089645	0.0705541841978009	3.367344135353914e-10	8.198947002510132e-09	4.980431792701512e-09	1.6462321629472243	d1	BDSCZvsCONT
L2_2	0.1552238415381975	0.2157492709845772	0.0113109266050688	1.3899235378186774	0.0728684878107819	8.928444017759626e-08	9.369295060966784e-09	5.165419194700346e-09	1.8138498944247468	d2	BDSCZvsCONT
L2_3	0.1518350709987772	0.1999395361631188	0.0094835541134651	1.316820513521076	0.0624595757164792	1.87334964521149e-06	5.554433936049782e-09	4.53870975372199e-09	1.2237913939076723	d3	BDSCZvsCONT
L2_4	0.1399867039278771	0.1788090171911772	0.0095782930141138	1.2773285760289192	0.068422876925859	5.46132788312584e-05	2.933742492709554e-09	4.4826722772030794e-09	0.6544628541393249	d4	BDSCZvsCONT
L2_5	0.1340074975352947	0.1572289492330561	0.0085589787632404	1.173284720070572	0.0638694022398726	0.0068697733016151	-4.130251660239508e-09	4.650281496617832e-09	-0.8881723962825597	d5	BDSCZvsCONT
L2_6	0.1335780508454815	0.1489995790014071	0.0084371109351435	1.1154495671879858	0.0631624049141372	0.069681841279688	-3.902335912957914e-09	4.4896922525008105e-09	-0.8691767037672278	d6	BDSCZvsCONT
